table,project,link,category,special
1,VR controlled Remote surgery system,,"Design, Body, Software",
2,Untitled,https://robotech2022.devpost.com/submissions/317456-drones-as-a-solution-to-last-mile-delivery-inefficiencies,"Design, Body",
3,Untitled,https://robotech2022.devpost.com/submissions/317464-mussel-men,Circuitry,
4,Untitled,,,
5,Teliot,https://robotech2022.devpost.com/submissions/317474-teliot,"Design, Circuitry",
6,Acacia Tower,https://robotech2022.devpost.com/submissions/317477-acacia-tower,"Design, Body, Circuitry, Software",
7,The Discordian Engineers,https://robotech2022.devpost.com/submissions/317478-susplaneable,"Design, Body, Circuitry, Software",
8,TBD,,,
9,Butts Detective,https://robotech2022.devpost.com/submissions/317486-butts-detective,"Design, Body, Software",
10,Untitled,https://robotech2022.devpost.com/submissions/317492-emc-squared,Software,
11,Untitled,,,
12,Untitled,https://robotech2022.devpost.com/submissions/317495-pacisafe,"Body, Circuitry, Software",
13,Untitled,,Design,
14,Got Methane?,https://robotech2022.devpost.com/submissions/317503-spatial-speech-isolation-captioning,"Design, Body, Circuitry, Software",
15,Untitled,,,
16,Untitled,,,
17,Untitled,,,
18,Sea Cleaner,https://robotech2022.devpost.com/submissions/317512-petcat,"Circuitry, Software",
19,Untitled,,Design,
20,Sustainable Sustainability,https://robotech2022.devpost.com/submissions/317527-cleanseas,"Design, Body, Circuitry, Software",
21,CleanSeas,https://robotech2022.devpost.com/submissions/317542-internet-controlled-teleoperation-robot,"Design, Body, Circuitry, Software",
22,Teleop - Internet Controlled Robot,,"Body, Circuitry, Software",
23,"Hi-Five, Low Waste",https://robotech2022.devpost.com/submissions/317554-pleurotus-ostreatus-automaton,"Design, Body, Circuitry, Software",
24,Oyster Mushroom Harvester,,,
25,Untitled,,"Body, Software",
26,Smart BuOI,https://robotech2022.devpost.com/submissions/317643-one-smart-apple,Circuitry,
27,Untitled,https://robotech2022.devpost.com/submissions/317647-a-f-k,Circuitry,
28,Untitled,,,
29,TEST,https://robotech2022.devpost.com/submissions/317736-test,"Circuitry, Software",
30,Mitigating Soil Pollution in Agriculture using Robotics,https://robotech2022.devpost.com/submissions/317740-mitigating-soil-pollution-in-agriculture-using-robotics,,
31,Test ,https://robotech2022.devpost.com/submissions/317743-test,,
32,After Market Autonomous Vehicle Kit,https://robotech2022.devpost.com/submissions/317744-after-market-autonomous-vehicle-kit,"Design, Circuitry",
33,I. SAC,https://robotech2022.devpost.com/submissions/317745-i-sac,Software,
34,TEST 3,,,
35,Lawn Mover,https://robotech2022.devpost.com/submissions/317752-lawn-mover,Circuitry,
36,FPGA stuff,https://robotech2022.devpost.com/submissions/317769-fpga-stuff,Body,
37,Always-on TinyML,https://robotech2022.devpost.com/submissions/317788-always-on-tinyml,"Body, Circuitry, Software",
38,Beautify,,,
39,iPlanter: Autonomous Ground Monitoring & Tree Planting Robot,,,
40,"Hey Doc, Need a Hand?",https://robotech2022.devpost.com/submissions/317812-hey-doc-need-a-hand,"Body, Software",
41,Improved Mentor Program,https://robotech2022.devpost.com/submissions/317821-improved-mentor-program,Circuitry,
42,Wall-ace,,"Design, Body, Circuitry, Software",
43,eBin,https://robotech2022.devpost.com/submissions/317886-ebin,"Design, Body, Circuitry, Software",
44,Amphibious Vehicle,https://robotech2022.devpost.com/submissions/317888-amphibious-vehicle,Circuitry,
45,Streamline,https://robotech2022.devpost.com/submissions/317894-streamline,Circuitry,
46,Project Peachy,https://robotech2022.devpost.com/submissions/317913-project-peachy,"Circuitry, Software",
47,EcoBud,https://robotech2022.devpost.com/submissions/317929-ecobud,,
48,SAPS,https://robotech2022.devpost.com/submissions/317931-saps,Software,
49,NoTrashBot,https://robotech2022.devpost.com/submissions/317947-notrashbot,"Body, Software",
50,Peer Seeder,https://robotech2022.devpost.com/submissions/317980-peer-seeder,Software,
