Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Body,Electrical,Design,Software
VR controlled Remote surgery system,"",Draft,Pending,Additional info,04/01/2022 14:02:52,"","",,"","",,"Vellore Institute of Technology, Vellore , Rutgers, The State University of New Jersey",2,yes,yes,no,yes
Drones as a Solution to Last-Mile Delivery Inefficiencies,https://robotech2022.devpost.com/submissions/317456-drones-as-a-solution-to-last-mile-delivery-inefficiencies,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 14:06:37,"Inspiration

The idea for the drone was similar to a project that one of our team members had done in the past. While brainstorming about solutions for the sustainability theme and considering the components available to us, we settled on building the drone during this hackathon.

What it does

Drones have been used for more efficient delivery for several years now, and they have been under development for decades before that. Our project is not new in that sense. What we did recognize, however, is that intelligent drones are rarely affordable, and only drones with the bare minimum electronics cost under $30. Our goal was to develop a low-cost drone that can support more advanced capabilities (in the future, with further development), like object detection and, with higher quality motors and larger size, lightweight package delivery. According to our brief market research, the biggest impediment to widespread drone delivery systems is the cost to develop and build them. Therefore, demonstrating that drones can be quickly designed using the newest, lowest-cost technology available to us, is extremely important for companies to continue to invest in these more efficient delivery methods.

How we built it


Solidworks and some advanced CAD design techniques to design the chassis and propellers
3D printers for design 
MPlab X for programming the PIC32MX
PIC C libraries
lots of reading datasheets!
working with Georgia Tech's soldering equipment and protoboards to develop electronic devices


Challenges we ran into

The lack of accessibility to certain resources that we thought we would be able to use, such as the PCB mills, led to some issues. After we had already lost a significant amount of time designing a PCB that we were unable to produce, we had to make our own from scratch. More specifically, we had to create a board with the small protoboard that was provided.  Unfortunately, we ran into some minor, unforeseen connection issues with the protoboard that we could not fix because the makerspace was already closed (and we did not have access to a soldering iron). This meant that we were unable to finish configuring the circuit hardware, so we could not test any of our code or demonstrate what tangible progress we had made. We also ended up having to work as a team of three instead of four after one of our teammates left early because he was not feeling well. He did not choose to continue working with us online.

Accomplishments that we're proud of

We were glad that we were able to efficiently build a prototype and get it working quickly. We did not get far enough in the project to look back on much, but we are proud of the skills that learned and applied during the event!

What we learned


Better soldering techniques
Solidworks & some advanced CAD design techniques
PIC C libraries/ microcontroller programming
3D printing
Microelectronics/hardware


What's next for Drones as a Solution to Last-Mile Delivery Inefficiencies

Because the majority of our team is from Clemson, we hope to continue working on the drone and finish it in the near future. A long-term idea is to implement object detection using an IR camera and a low-cost FPGA, similar to a real delivery drone, but this would be time-consuming and involve more learning.
","",https://youtu.be/QPp2HcOLvnQ,"Body Track, Electrical Track","c, mplab, pic32, solidworks, 3dprinting",,Clemson University,2,yes,yes,no,no
Natural microplastics filtration program using mussels,https://robotech2022.devpost.com/submissions/317464-natural-microplastics-filtration-program-using-mussels,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 14:49:40,"Inspiration

Last week microplastics were found in human blood for the first time. We were inspired by how efficient mussels were at tackling the problem.

What it does

Mussels naturally are great at filtering out microplastics. 
Small bots will facilitate transportation of muscles along concentrations of microplastiscs, which allows for quick and efficient filtration.

How we built it

We performed extensive project analysis by considering its feasibility in marketing, supply chain, engineering, and finance fields

Challenges we ran into

We attempted to simulate the autonomous navigation of the bot. However, not being familiar with aquarobotic packages it was extremely difficult to set up the model.

Accomplishments that we're proud of

Unique creative bio-inspired design, supported by careful engineering analysis and 3d visuals.

What we learned

We experienced the concept of project design and learned a lot about mussels and their potential impact on the marine ecosystem.

What's next for Natural filtration

Large scale ""swarm"" style bot development. Increasing the range and autonomous abilities of the bots to target mid oceans.
","",https://youtu.be/jFmoeSqCop8,"","ross, ross2, python, gazebo, solidworks, keynote",,Georgia Institute of Technology - Main Campus,3,no,no,yes,no
Untitled,"",Draft,Pending,Manage team,04/01/2022 17:02:11,"","",,"","",,"",0,"","","",""
Teliot,https://robotech2022.devpost.com/submissions/317474-teliot,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 18:37:53,"Inspiration and background

Our team was looking for ways to identify unnecessary usage of water. Then we thought of the toilets in our homes that had an added feature of the dual-flush and started to wonder why we don’t see this feature in public restrooms. It turns out that according to most common public toilets, one flush releases an average of 1.6 gallons of water. However, the amount of water released for liquid waste is 1.1 gallons in dual-flush toilets in residential homes. This would mean that if a user urinates in a public bathroom, there could be about 0.5 gallons of water saved per flush if the toilet could classify solid and liquid waste. However, because the process is not readily available in many places and is not automatic, the water savings are not maximized, which is the issue we decided to analyze and develop a solution for. Looking at the Atlanta Jackson-Hartsfield International Airport as a case study, we calculate that the upfront cost of installing our design of dual-flush toilets will break even with the water savings in approximately 22 months. With the feasibility of this project checked, we decided to move on to the details and the implementation of our design on a conceptual level.

Conceptual Design

How flushometers work
The link prior shows how flushometers work with an explained diagram and annotated part names. We determined that the size of the bypass hole is directly responsible for the amount of time it takes for the upper and the lower chamber to equalize in pressure. This would mean that a larger bypass hole size would lead to a shorter time for the pressures to equalize, leading to a decreased amount of water flow for the reduced flush. The opposite would be true for a full flush with a smaller bypass hole size. In order to do this, we had to first create a detection system that could distinguish feces from urine. We decided that the most cost effect and accurate method for this was using a ultrasonic sensor that would be built into the inner surface of the toilet bowl. This sensor would be set to a certain range so that solid matter would be detected and the state of the sensor would recognize the feces. This would then communicate with a central microcontroller that controls a servo motor, which is connected to a long cylindrical rod embedded inside the flushometer. This rod would control the bypass hole size as either normal or covered depending on whether the sensor's input signal. The next steps would include fine-tuning this process so that the desired flow volume of 1.1 gallons and 1.6 gallons would be released for the two cases. 



Challenges we ran into


To determine what type sensor we wanted to use, we first had to ask ourselves the question of what characteristic distinguish feces from urine. This was difficult because many factors differentiated these two components, but only volume and proximity to the bottom of the bowl were useful for sensing. 
Sensor choice for distinguishing solid from liquid waste was difficult because we were originally considering using capacitance sensors because of its ability to detect solids through a wall. We were planning to use the sensor and attach it on the outer surface of the bowl, but we found out the range of the sensors were maximum of 3 inches, which was not enough. This led us to a different design using an ultrasonic sensor that would be embedded on the inside of the bowl. 
While creating a mechanical device that would switch from reduced flow to normal flow, we had to come up with a mechanism that would have two degrees of freedom controlled by a servo motor (vertical for diaphragm and horizontal for linear actuation). To get around this issue, we came up with a different mechanism that uses a rod from the top that is controlled by a linear actuator so that there is only one degree of freedom. 



Accomplishments that we're proud of

We are proud that we were able to not only learn how a general flushometer works in the span of less than 24 hours, but also identify a method in which we could insert our knowledge to create a more efficient system that saves more water. We believe that we navigated the obstacles and challenges presented to us and used the time and resources allotted to us in the best manner. 

What we learned

We learned that developing a system that can be applied in real-world situations is very difficult, and that there are many variables not related to technology that we must consider. Despite all the obstacles and roadblocks we encountered while flushing out our ideas more in depth, we also learned how to prioritize our goals and communicate with one another to efficiently delegate tasks. 

What's next for Teliot

Teliot is very excited for our future works. Regardless of the results of this competition, we plan to:



Experimentally test and validate the rod mechanism for bypass hole size classification. We also wish to explore continuous bypass hole size changes rather than the discrete system we developed. 
Transfer the wired connections from the sensor to the microcontroller to a wireless system.
Prototype and build the bowl system to include the ultrasonic sensor with casing.
Begin to talk with public institutions such as airports and schools for employing this technology across the state.


Thank you for the opportunity to brainstorm and develop solutions to real-world issues. This weekend has really been a pleasure and we would like to thank everyone for making this event possible. 
",https://docs.google.com/presentation/d/14RA0ZQWkWvzT5SepGb--SSgMflC4OPqtuZTfYwyaJrU/edit?usp=sharing,https://youtu.be/Qkw3G9eHs2s,"[Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","solidworks, epa-database, world-government-data",,Georgia Institute of Technology - Main Campus,3,no,no,yes,no
Acacia Tower,https://robotech2022.devpost.com/submissions/317477-acacia-tower,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 19:01:44,"Inspiration

From poaching of endangered species in Africa to illegal logging in Latin America, criminal economies have the potential to greatly harm Earth's natural resources and precious qualities. Our team sought to find a solution and a way to protect Earth from humans. Introducing the Acacia Tower - an off-grid AI sentry tower.

What it does

The Acacia Tower is an organization's first line of defense when it comes to protecting resources and land. From solar power and sustainable Li-ion batteries, this device uses computer vision to detect and verify potential threats of interest, cache notable instances, and notify the user via text message. 

How we built it

Structural Design

Taking advantage of additive manufacturing, the team created detailed CAD models and 3D printed major structural components, including the electronics canister, support trays, and solar panel risers. 

Electronics

In sequence, the solar panel (mounted atop the canister) is wired directly to a MPPT solar charge controller. From 12 Li-ion batteries, three battery subpacks were wired in series, each with 4 batteries in parallel (4p3s 16Ah). The battery pack and charge controller are wired directly to a step down buck converter, which provides power to the Raspberry Pi. From this computer, a camera and a 4G module are incorporated, allowing the team to utilize the versatility of the Raspberry Pi.

Software

Our team utilized a React.js frontend with Material UI and Uber's DeckGL Mapping Library for displaying mapped sentry location points, as well as pulling all sentry-captured images for review. The application's backend utilizes Golang with GORM for the backend web-server and a PostgreSQL database instance, both of which are currently being live hosted using Google Cloud Platform. 

https://github.com/k-lombard/Acacia

Challenges we ran into

One major challenge we encountered was the iterative delay for 3D printing and design. Waiting several hours for parts to finish can delay other parts of the process, so we had to learn to manage every second accordingly. In addition the aforementioned obstacle, remote communication between the Sentry Tower and our custom Google cloud back end server posed many interesting obstacles. That being said, hard work, dedication, grit, and our mission-focused attitude (two almost sleepless nights) allowed us to overcome these tumultuous obstacles.

Accomplishments that we're proud of

As a team, we are very proud of our progress. From conceiving an idea, to creating CAD models within the next hour and 3D printing through the night, to waking up an hour after we go to sleep in order to start another print - our team hustled. It's amazing and fulfilling to go from absolutely nothing to a fully developed prototype in less than 48 hours.

What we learned

One main thing that we learned was the criticality of time and time management. For example, we learned to utilize downtime (while all of our 3D printers were running) to work on other subsystems, such as electronics and software development. We spent a great amount of time testing those subsystems, which would not have been possible if we were inefficient in other areas. We also learned the importance of subsystem interactions - in other words, always know how one subsystem interacts with another and plan accordingly. Do not be thinking one step ahead, but rather, think two or three steps ahead. Small inconveniences can have a ripple effect if they are not addressed early on.

What's next for Acacia Tower

We have several plans for the Acacia Tower:


Fully integrating IR/thermal imaging camera for low-light environments
Exploring more sustainable (but weather-proof) materials for construction
Marketing towards government/private/defense sector
Optimizing energy usage and developing failsafe mechanisms 
-Futher exploring other low-power forms of communication for increased operational range
-Further exploring and developing more advanced AI/machine vision algorithms with improved performance and reduced power consumption

",https://github.com/k-lombard/Acacia,https://youtu.be/wNwONJuRV9c,"Body Track, Electrical Track, Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","cad, 3dprinting, raspberry-pi, python, chakra, tensorflow, golang, react.js, material-ui, deckgl, postgresql, google-cloud",,Georgia Institute of Technology - Main Campus,2,yes,yes,yes,yes
Susplaneable,https://robotech2022.devpost.com/submissions/317478-susplaneable,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 19:03:35,"Inspiration

We like planes.

What it does

A drone design that combines vertical takoff/landing with highly sustainable gliding. Also a web app that allows planning routes. The electric battery sits 2/3 of the length of the fuselage from the vertical tail, and is modular in design along with the wing, so that either the wing or the battery can be changed quickly and easily. There are two small engines at the bottom of the wing sitting on either side of the fuselage but in the middle of the fuselage for controlled descent.

How we built it

We didn't. 

Challenges we ran into

Building the actual model didn’t work out, except for the car that would attach to the bottom of the model.

Accomplishments that we're proud of

Making the design concept

What we learned

Gliding is sustainable and useful for getting a car or other land-based vehicle from one place to another very quickly and safely, using a launching and catching system similar to what the navy uses for their aircraft. The small electric engine allows for vertical propulsion from the bottom of both wings attached where the fuselage connects to the wings to make descent easier for the glider.

What's next for Susplaneable

Building an actual model.
","https://github.com/zhengkyl/susplaneable, https://zhengkyl.github.io/susplaneable/",https://vimeo.com/695276652,"",typescript,,"Georgia Institute of Technology - Main Campus, Purdue University",2,yes,yes,yes,yes
TBD,"",Draft,Pending,Project overview,04/01/2022 19:12:15,"","",,"","",,Georgia Institute of Technology - Main Campus,1,"","","",""
Butts Detective,https://robotech2022.devpost.com/submissions/317486-butts-detective,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 20:07:17,"Inspiration

Georgia Tech is a smoke-free campus with the goal of creating a healthy, safe environment for all students and faculties. However, it is difficult to monitor smoking behaviors on campus. We think collecting butts on the street and forcing people who were smoking to stop would match our goal of sustainability.

What it does

Our robot after full development with proper hardware will be able to randomly patrol the campus. It will clamp the cigarettes butts on the streets and throw them into the trash can that the robot carries. It also detects smoking behaviors on campus and takes the cigarettes away from people who were smoking using its robotic arm. If the person leaves before the robot successfully clamps the cigarettes, our robot will adjust its velocity to catch the person.

How we built it

We used some online sources to develop a trained deep learning model that recognizes smoking behaviors using the camera. We assembled a robot car as a prototype due to hardware limitations. The robot car is able to move around itself and avoid obstacles without predetermined routes while the completed robot should be assigned to specific routes based on the campus map. We also mounted a camera as it can detect smoking behavior by running the model. In the future, we will need robotic arms to achieve the clamping action.

Challenges we ran into

The Lafvin smart car kit lacked parts. Some of its components do not function as they should, it took us a large amount of extra time to fix. 

Accomplishments that we're proud of

We managed to assemble the robot and wrote an obstacle avoidance program that can run on its Arduino. We also managed to use the ESP32-CAM module to live stream video and use our deep learning model to recognize if the person is smoking or not.

What we learned

Deep learning can be combined with Robots to complete various tasks such as behavior detection. We have obtained a deeper understanding of computer vision in this project.
Also, this project is heavily hardware-focused but many of us do not have in-depth knowledge in this field. During the process, we learned the common errors and how to troubleshoot them. Meanwhile, we learned to deploy video streaming from microcontrollers.

What's next for Butts Detective

Due to the lack of a Mechanical Arm, we did not achieve the original plan of taking the cigarettes away from smokers. We may continue to work on this function in the future.
",https://github.com/shuhany/Butts_Detective,https://youtu.be/evty392eQFU,"","python, arduino",,Georgia Institute of Technology - Main Campus,2,no,yes,no,yes
EMC-Squared,https://robotech2022.devpost.com/submissions/317492-emc-squared,Submitted (Gallery/Visible),Pending,Submit,04/01/2022 20:32:54,"Inspiration

The advancement in the fields of AI and VLSI, alongside the penetration of Wireless technology and accessible Internet, has led to a rapid rise in the Consumer Electronics market. As per a recent report [1], the Consumer Electronics Market size was valued at over USD 1 trillion in 2020 and is estimated to grow at a CAGR of more than 8% from 2021 to 2027. Consumer Electronics find their use-case in several domains, from Entertainment Systems to critical applications like Healthcare and Automotive. In general, these products must adhere to rigid standards and undergo several compliance tests, of which testing for Electromagnetic Interference and Electromagnetic Compliance (EMI/EMC) is the most crucial. Electronic devices (even without transmitters) emit electromagnetic radiation, just as a byproduct of switching currents and voltages inherent to electronic circuitry. Without limits to the amount of unintended electromagnetic radiation from electronic products, the electromagnetic spectrum could be adversely affected, and frequency bands reserved for radio transmission could become compromised [2]. In critical cases like Medical, EMI/EMC performance can mean the difference between life and death – hence performing extensive EMI/EMC testing is a necessity and cannot be substituted for. 
This process, although necessary, is expensive, inaccessible, repetitive, and power-hungry i.e., not sustainable. As the number and complexity of devices will increase the need for this testing will proportionally surge. With the goal to accelerate the process and promote sustainable practices in EMI/EMC testing, we designed a cross-functional simulation environment that aids in the process of physical EMI/EMC testing. For instance, while designing a Class-III medical device like an Insulin Pump – the body of the pump with the location of components can be imported into our environment and a detailed EMI/EMC analysis (at various frequency bandwidths) can be generated. This would also promote the use of sustainable materials – as the cost of testing them significantly drops. The key idea of this project is to reduce the dependency on EMI/EMC test centres by providing apriori information through our simulation environment.

What it does

Standard EMC testing procedures subject a device to electromagnetic radiation to check how it behaves under such conditions. The circuit for these devices is intricately designed to inhibit interference and shield radiation from the circuit. These are then rigorously evaluated for EMI/EMC in a controlled environment – which is an expensive process, thus discouraging many small-medium scale (non-critical) products to avoid this entirely. This in turn adds to the problem of stray EM radiations. Our simulation environment was designed to be more accessible, and easy and to introduce sustainability in the energy-intensive EMI/EMC testing process through early identification, and mitigation of potential design hazards in electronic subsystems through state-of-the-art simulation and visualization. The simulation environment can apply a bandwidth of frequencies to a user-defined 3D model of any material and can generate a report with a heatmap of EM field strengths, and can also determine likely frequencies at which the EMI/EMC test might fail for a certain component location.  

How we built it

The simulation environment was developed with the following design requirements:


Generality – The users can design (on Ansys) and import any of their designs and perform this analysis on their custom structures. The users can also choose the packaging material of the body and of the components from a pre-defined library or a custom material. This means the user can at any time introduce a new material for a component/body and do a feasibility study of its effect on the EM field.
Flexibility – The users can choose the one-or-more regions-of-interest for analysis and have the choice of selecting the bandwidth of frequencies for which they want to evaluate the design.
Sustainability and Reliability – The analysis algorithm is built using Bayesian Optimization. That is, given runtime constraints it’ll have an efficient and faster Design Space Exploration and a higher likeliness of reaching global optima within a finite number of iterations. This ensures reliable solutions are achieved with limited compute time and energy – efficient and reliable. 


The simulation environment employs three software/tools: Ansys, Python and MATLAB. Structure and material specifications and component placement and generates a 3D model with Ansys. The 3D model is then fed into a MATLAB code which then performs the optimization. Finally, the algorithm outputs critical bandwidth; the range of frequencies at which the EM field strength will be above the safe threshold at the given point based on the optimized component location.

Challenges we ran into


Algorithm occasionally failed to compute the EM field at certain points due to complex 3D structure.
3D modelling on Ansys due to lack of design background
Unable to perform full-scale validation due to lack of computational resources
No open-source literature available for EMC devices and methods


Accomplishments that we're proud of


Successfully developed a working Proof-of-concept of our idea.
Designed a sustainable solution that can be easily adopted into the industry. 
Tested our system for 3 different material compositions and observed promising results. 
Approached the problem by applying Design Thinking techniques.
Interviewed an industry professional in the field of EMI/EMC testing to get real-world insights.


What we learned


Association between device structure and Electromagnetic Compatibility 
Relation between material variability and EMC
Device electromagnetic compatibility dependence on the bandwidth of frequencies
Modeling structures with the Ansys tool
Bayesian Optimization of the 3-dimensional objective function
Visualization of results with MATLAB
Ansys, Python scripting, and optimization in MATLAB


What's next for EMC-Squared


Scale the algorithm to multiple vents and components
Scale the algorithm for multiple points and form a region of interest
Bombard the device with EM waves with varying strengths and modulation
Work closely with the industry to add features that can further aid in the EMI/EMC test.

","",https://youtu.be/kisHsjW9NXk,"[Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","matlab, python, ansys, machine-learning, bayesian-optimization",,Georgia Institute of Technology - Main Campus,3,no,no,no,yes
